CLP	CMP	HSC	MPP
127	5	4	3	3
389	21	16	7	8
1234569	9	8	3	8
9	117	73	70	91
1	265	175	123	151
129	44	46	48	30
345	12	21	20	9
189	17	13	13	5
789	45	38	16	34
147	0	5	5	6
123	127	71	39	74
12347	11	6	4	6
349	19	13	9	13
12389	41	29	31	22
C	0	22	14	11
16789	6	10	1	4
1HCB9	0	8	1	6
A	43	50	50	41
7	18	13	15	11
CB1	32	13	6	16
12369	5	2	4	6
745	0	0	4	1
GFE89	0	0	2	0
12345	13	5	8	6
12789	11	7	13	6
14569	16	5	1	10
12C89	10	8	5	4
12349	9	12	7	5
IHG	18	8	6	10
1236789	9	10	3	7
123456789	19	24	6	7
14C	0	0	1	3
14789	0	0	1	2
1256789	0	0	4	6
1234567	6	8	3	6
34569	0	2	2	4
34789	0	0	1	0
1456789	0	4	1	4
12367	0	1	2	2
GFEDCBA	0	0	1	0
IHGFA	0	1	1	1
12GF9	0	0	1	3
1234789	5	7	8	1
1D9	2	5	8	3
56789	0	3	4	4
34E	0	2	1	1
3	0	1	2	5
123HGFED9	0	2	4	5
AF9H7	0	0	1	2
12589	5	5	1	2
14567	0	6	2	2
1238I	0	0	1	2
CBIH1	6	2	1	3
36789	1	2	2	5
34GFE89	0	0	1	2
1HGFEDCB9	0	0	1	1
123HGF9	0	0	1	1
1D789	4	2	1	2
12569	0	0	1	1
149	0	1	3	7
167	0	0	1	0
367	0	0	1	1
E	0	5	9	2
12CFED7	0	0	1	1
1FE	0	0	1	0
12C6789	0	0	2	1
1234589	0	0	1	2
12E	0	1	1	6
14589	0	4	2	1
3456789	0	1	1	2
123456IHG	0	0	1	0
169	0	0	1	0
C456789	0	0	1	0
1DI23	0	1	1	1
123F789	0	0	1	0
1236G	0	0	3	1
E612CD9	0	0	1	0
1HGF9	0	1	3	2
3HGFED9	0	0	2	1
1234GFE89	0	0	2	0
123FED789	0	0	1	0
1456IHG	0	1	2	1
1D5	0	0	3	0
9BA	0	0	3	0
CBA49	0	0	13	7
125	0	0	4	0
GF9	0	0	1	0
1632789	0	0	2	0
12GFED9	0	0	1	0
1DCB789	0	0	1	0
I	0	0	1	0
145	0	0	2	0
5678I	0	0	2	0
5	0	0	1	0
1DIHG23	0	0	2	1
569	0	0	1	2
3HE	0	0	1	0
123D56789	0	0	1	0
78I	0	0	1	0
369	0	0	3	0
123FE	0	0	1	0
34567	0	0	2	0
16E4G8I	0	0	1	0
GFEDCBA89	0	0	1	0
