undiff	Monocyte	Neutrophil	Baso	Erythroid	Meg	Mast	Lymphoid	Eos	Neu_Mon	Ccr7_DC	pDC
4061	20	32	18	0	0	0	0	0	0	0	0	0
163	14	14	16	0	0	0	0	0	0	0	0	0
685	14	22	4	0	0	0	0	0	0	0	0	0
4009	7	2	0	0	0	0	0	0	0	0	0	0
910	10	10	6	0	0	0	0	0	0	0	0	0
5487	0	0	0	0	0	0	21	0	0	0	0	0
1363	8	7	3	0	0	0	0	0	0	0	0	0
4141	15	18	31	0	0	0	0	0	0	1	0	0
2616	1	8	3	0	0	0	0	0	0	0	0	0
4250	0	0	10	0	0	0	0	0	0	0	0	0
2259	0	7	0	0	0	0	0	0	0	0	0	0
2862	1	2	0	26	0	0	0	0	0	0	0	0
2421	0	4	1	0	0	0	0	0	0	0	0	0
125	6	0	17	0	0	0	0	0	0	0	0	0
4926	2	9	1	0	0	0	0	0	0	0	0	0
3532	1	0	0	5	0	0	0	0	1	0	0	0
987	0	0	0	6	0	0	0	0	0	0	0	0
3681	2	1	3	0	0	0	0	0	0	0	0	0
4784	1	0	3	4	0	0	0	0	0	0	0	0
5313	8	0	19	2	0	0	0	0	0	0	0	0
1708	2	0	0	0	0	0	0	0	0	0	0	0
5070	1	0	9	1	0	0	0	0	1	0	0	0
5112	21	12	5	0	0	0	0	0	0	0	0	0
1557	7	0	3	13	0	0	0	0	0	0	0	0
2634	5	2	5	0	0	0	0	0	0	0	0	0
333	2	12	3	0	0	0	0	0	0	0	0	0
2638	55	0	7	1	0	0	0	0	0	0	0	0
3336	22	0	6	0	0	0	0	0	0	0	0	0
2569	37	31	4	0	0	0	0	0	0	0	0	0
3998	1	0	4	0	0	0	0	0	0	0	0	0
4261	12	1	0	0	0	0	0	0	0	0	0	0
4923	7	2	0	0	0	0	0	0	0	0	0	0
3530	18	7	38	0	0	0	0	0	0	0	0	0
4447	3	0	0	0	0	0	0	0	0	0	0	0
3497	27	0	1	0	0	1	0	0	0	0	0	0
2111	10	0	25	3	0	0	0	0	0	0	0	0
3296	10	8	19	0	0	0	0	0	0	0	0	0
3702	7	4	0	0	0	0	0	0	0	0	0	0
3127	2	3	0	0	0	0	0	0	0	0	0	0
1653	9	7	2	0	0	0	0	0	0	0	0	0
1581	2	0	0	5	0	0	0	0	0	0	0	0
996	10	9	15	0	0	0	0	0	0	0	0	0
284	3	0	0	4	0	0	0	0	5	0	0	0
4058	7	11	4	0	0	0	0	0	0	0	0	0
3976	8	0	0	0	0	0	0	0	0	0	0	0
4470	2	0	0	0	0	0	0	0	0	0	0	0
374	6	0	19	0	0	0	0	0	0	0	0	0
2254	0	0	0	0	0	0	1	0	0	0	0	0
3278	0	0	2	0	0	0	0	0	0	0	0	0
185	1	0	2	0	0	0	0	0	0	0	0	0
5578	33	0	0	0	0	1	0	0	0	0	0	0
1682	7	0	0	0	0	0	0	0	0	0	0	0
1968	21	0	0	2	0	0	0	0	0	0	0	0
3963	0	0	0	2	0	0	0	0	0	0	0	0
5479	1	0	3	0	0	0	0	0	0	0	0	0
7	0	2	0	0	0	0	0	0	0	0	0	0
3572	7	0	1	0	0	0	0	0	0	0	0	0
3508	8	0	0	0	0	0	0	0	0	0	0	0
1861	1	9	1	0	0	0	0	0	0	0	0	0
959	2	0	9	0	0	0	0	0	0	0	0	0
5736	8	0	7	0	0	0	0	0	0	0	0	0
3638	2	1	0	6	0	0	6	0	0	0	0	0
507	2	0	0	0	0	0	0	0	0	0	0	0
861	2	0	0	1	0	0	0	0	0	0	0	0
5774	0	0	0	0	0	0	4	0	0	0	0	0
3801	4	9	6	0	1	0	0	0	0	0	0	0
5596	1	1	11	0	0	0	1	0	0	0	0	0
5266	2	2	4	0	0	0	0	0	0	0	0	0
3378	2	0	0	15	0	0	0	0	0	0	0	0
3091	4	0	0	0	0	1	3	0	0	0	0	0
4117	1	3	0	0	0	0	0	0	0	0	0	0
1451	4	15	0	0	0	0	0	0	0	1	0	0
4774	8	0	10	4	0	0	0	0	0	0	0	0
407	5	0	23	0	0	0	0	0	0	0	0	0
572	2	0	0	0	0	0	0	0	0	0	0	0
1771	0	0	0	0	0	3	0	0	0	0	0	0
3627	3	0	0	0	0	0	0	0	4	0	0	0
405	11	30	3	0	0	0	0	0	0	0	0	0
245	5	0	0	0	0	1	2	0	0	0	0	0
363	2	0	0	6	0	0	0	0	0	0	0	0
3171	18	0	39	0	0	0	0	0	0	0	0	0
1089	2	0	0	0	0	0	0	0	0	0	0	0
3912	0	0	0	0	2	1	0	0	0	0	0	0
4190	12	7	11	0	0	0	0	0	0	0	0	0
4581	40	0	3	0	0	0	0	0	0	0	0	0
5758	0	0	13	0	0	0	0	0	0	0	0	0
1062	0	0	0	0	0	1	6	0	0	0	0	0
3872	6	11	16	0	0	0	0	0	1	0	0	0
4967	1	5	1	0	0	0	0	0	0	0	0	0
1310	0	0	0	1	0	0	1	0	0	0	0	0
590	3	4	3	0	0	0	0	0	0	0	0	0
4502	7	0	0	0	0	1	0	0	0	0	0	0
1803	0	0	0	0	0	0	6	0	0	0	0	0
8	2	0	2	2	0	0	0	0	0	0	0	0
427	2	0	0	14	0	0	0	0	0	0	0	0
844	3	0	0	0	0	0	1	0	0	0	0	0
5308	0	0	5	0	0	0	0	0	0	0	0	0
4802	1	0	2	0	0	0	0	0	0	0	0	0
5617	5	0	4	4	0	0	0	0	4	0	0	0
667	0	0	2	0	0	0	0	0	0	0	0	0
5362	5	0	0	0	0	0	0	0	0	0	0	0
4598	4	0	0	0	0	0	0	0	0	0	0	0
5091	18	25	3	0	0	0	0	0	0	0	0	0
1371	7	0	0	0	0	0	0	0	0	0	0	0
4207	2	0	0	0	0	0	10	0	0	0	0	0
1737	0	0	0	14	0	0	0	0	0	0	0	0
4517	3	0	0	0	0	4	1	0	0	0	0	0
4991	1	0	0	3	0	0	0	0	0	0	0	0
2650	0	0	0	0	0	0	10	0	0	0	0	0
2084	0	0	0	7	0	0	0	0	1	0	0	0
5492	8	1	19	0	0	0	0	0	0	0	0	0
754	1	0	0	4	0	1	0	0	0	0	0	0
3696	1	11	0	0	0	0	0	0	0	0	0	0
4911	3	0	3	0	0	0	0	0	0	0	0	0
1932	5	0	0	0	5	1	0	0	0	0	0	0
1971	0	0	0	3	0	0	0	0	0	0	0	0
3118	11	16	0	0	0	0	0	0	0	0	2	0
3981	1	3	0	0	0	0	0	0	0	0	0	0
5060	4	1	0	0	0	0	0	2	0	0	0	0
4473	0	0	0	7	0	0	0	0	0	0	0	0
5803	6	0	9	0	0	0	0	0	0	0	0	0
1219	4	19	18	0	0	0	0	0	0	0	0	0
2868	3	2	14	0	0	0	0	0	0	0	0	0
2849	4	0	0	0	0	1	0	0	0	0	0	0
2735	6	12	12	0	0	0	0	0	0	0	0	0
673	23	14	25	0	0	0	0	0	0	0	0	0
4161	1	0	3	0	0	0	0	0	0	0	0	0
979	6	3	10	0	0	0	0	0	0	0	0	0
1375	0	0	0	2	0	0	0	0	0	0	0	0
619	0	0	0	0	0	0	4	0	0	0	0	0
963	1	0	0	6	0	0	2	0	0	0	0	0
1822	2	0	3	0	0	0	0	0	0	0	0	0
4086	19	0	0	0	0	2	0	0	0	0	0	0
3129	9	0	0	0	0	4	0	0	0	0	0	0
311	1	0	7	0	0	0	0	0	0	0	0	0
299	1	3	0	0	0	0	0	0	0	0	0	0
4789	8	0	0	0	0	2	1	0	0	0	0	0
3581	1	0	0	0	1	0	0	0	0	0	0	0
1144	0	11	4	0	0	0	0	0	0	0	0	0
3219	0	0	0	7	0	0	0	0	4	0	0	0
221	1	5	1	0	0	0	0	0	0	0	0	0
4455	0	0	4	0	0	0	0	0	0	0	0	0
4140	7	9	0	0	0	0	0	0	0	0	0	0
3382	5	5	24	2	0	0	0	0	0	0	0	0
5550	1	0	0	0	1	0	2	0	0	0	0	0
3910	7	11	0	0	0	0	0	0	0	0	0	0
5575	0	2	1	0	0	0	0	0	0	0	0	0
1208	1	0	0	0	0	3	0	0	0	0	0	0
2953	0	0	0	0	0	0	2	0	0	0	0	0
3478	0	0	0	5	0	0	0	0	0	0	0	0
1339	1	0	9	3	0	0	0	0	0	0	0	0
2354	0	0	7	0	0	0	0	0	0	0	0	0
5014	8	1	4	0	0	0	0	0	0	0	0	0
5155	6	1	10	0	0	0	0	0	0	0	0	0
4478	2	0	1	0	0	0	0	0	0	0	0	0
3643	0	1	3	7	0	0	0	0	0	0	0	0
2236	4	0	13	2	0	0	0	0	0	0	0	0
2404	5	6	0	0	0	0	0	0	0	0	0	0
2043	16	0	0	0	0	0	0	0	0	0	0	0
283	8	0	1	7	0	0	0	0	0	0	0	0
5805	2	0	6	0	0	0	0	0	0	0	0	0
