13	2	6	10	8	3	9	7	4	5	12	11	1
LL	0.48	0.286118980169972	0.134615384615385	0.153846153846154	0.25	0.242152466367713	0.180327868852459	0.217391304347826	0.118012422360248	0.17037037037037	0.148148148148148	0.04	0
M1	0.12	0.157223796033994	0.259615384615385	0.269230769230769	0.180555555555556	0.197309417040359	0.311475409836066	0.141304347826087	0.142857142857143	0.214814814814815	0.185185185185185	0.12	0
M2	0.16	0.254957507082153	0.259615384615385	0.153846153846154	0.361111111111111	0.291479820627803	0.229508196721311	0.347826086956522	0.211180124223602	0.237037037037037	0.333333333333333	0.6	0
XM	0	0	0	0	0	0	0	0.0108695652173913	0	0	0	0	0.997668997668998
NE	0	0.0495750708215297	0.0576923076923077	0.0384615384615385	0.0833333333333333	0.0493273542600897	0	0.0108695652173913	0.0559006211180124	0.0444444444444444	0.185185185185185	0	0
NW	0.08	0.162889518413598	0.201923076923077	0.269230769230769	0.0972222222222222	0.121076233183857	0.0983606557377049	0.206521739130435	0.354037267080745	0.140740740740741	0.111111111111111	0.24	0.00116550116550117
SE	0.16	0.084985835694051	0.0865384615384615	0.0961538461538462	0.0277777777777778	0.0986547085201794	0.147540983606557	0.0543478260869565	0.111801242236025	0.185185185185185	0.037037037037037	0	0.00116550116550117
SW	0	0.0028328611898017	0	0.0192307692307692	0	0	0	0.0108695652173913	0	0.00740740740740741	0	0	0
BL	0	0.00141643059490085	0	0	0	0	0.0327868852459016	0	0.0062111801242236	0	0	0	0
