CMP	HSC	MPP
3HG	48	24	31
1	90	108	44
14C89	26	5	2
149	46	29	15
123	320	91	127
3	95	58	65
129	163	61	80
14569	6	1	4
12389	73	32	29
12345	26	8	13
12789	53	12	10
C	12	13	3
16789	5	6	3
12349	45	28	22
CBA49	2	1	1
189	84	34	41
1234567	9	2	5
7	88	43	40
127	19	2	16
CBA	16	3	21
1F9	0	2	6
123456789	30	10	14
369	18	4	22
12347	1	2	1
9	70	63	61
541HG	0	4	4
1234569	9	4	3
34569	5	1	3
12IHG	24	5	4
789	43	15	29
1DCB9	9	3	1
1256789	5	1	3
145	16	3	3
3F9	9	12	2
IBA	4	1	2
1456789	7	3	1
56789	0	1	5
1234I	3	1	1
12369	16	9	9
12I6C	0	1	0
3456789	2	3	1
125	9	11	3
12I	0	3	12
1234789	12	5	7
569	12	2	4
34567	0	2	0
1236789	12	9	2
12IDC	0	2	2
567	0	2	0
1FCBG8I	0	2	12
14567	0	2	5
5	12	7	6
123HGD9	0	3	3
1234GFE89	0	5	0
GFE	0	3	2
167	5	4	3
12567	7	5	5
1234589	0	1	4
CB567	0	1	0
12345HG	3	6	3
12GFC89	0	3	0
1234IHG	2	1	2
123HGFED9	0	1	1
123HG	0	2	4
12G	3	10	2
12GDC89	6	7	4
12IHC	0	2	0
123456IHG	0	1	2
349	3	9	3
1HG	0	1	0
1FC	0	1	0
1238EF9	0	1	0
1DCB569	0	1	0
CBA456789	0	1	1
IDC	0	1	0
12GD9	0	1	0
14GFEBC89	0	1	0
EBA69	0	3	2
12IHGFEDC	0	1	2
12367	1	1	2
36ED789	0	1	0
12GFE49	0	1	1
I	0	6	2
12GH369	3	1	1
123FED9	0	1	1
1D9	0	7	0
1234E	0	1	0
12IHGDC	0	4	0
9812GFEDC	0	2	0
1DCBGFE	0	6	0
1FI	0	1	0
12IHGFE	0	1	0
IDCBA	0	1	0
A69	0	1	0
12E	0	1	0
1278EDC	0	1	0
1FEDC	0	5	0
G	0	1	0
345	0	2	0
1234GHI	0	1	2
1DGFE8C	0	1	0
1HGF9	0	2	3
A4589	0	1	0
1HGFCB9	0	1	0
1236789DE	0	3	0
12GFE	0	1	0
389	0	2	0
1238I	0	1	0
